Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 78924, Tempo: 1.238607
	Custo: 78924, Tempo: 1.252254
	Custo: 78924, Tempo: 1.036795
	Custo: 79711, Tempo: 1.161407
	Custo: 78586, Tempo: 1.269244
	Custo: 78924, Tempo: 0.982770
	Custo: 78924, Tempo: 1.137851
	Custo: 78924, Tempo: 1.291917
	Custo: 78924, Tempo: 1.233200
Melhor custo: 78586, média dos tempos: 1.169505
Instancia: InstancesBRP/20BuenosAires20.txt, Q: 20
	Custo: 93942, Tempo: 1.507702
	Custo: 92562, Tempo: 1.914414
	Custo: 90907, Tempo: 1.608165
	Custo: 90336, Tempo: 1.722661
	Custo: 89056, Tempo: 1.684688
	Custo: 91179, Tempo: 1.489973
	Custo: 93342, Tempo: 1.780577
	Custo: 90574, Tempo: 1.678110
	Custo: 91869, Tempo: 1.969718
	Custo: 93645, Tempo: 1.573700
Melhor custo: 89056, média dos tempos: 1.692971
Instancia: InstancesBRP/21Ottawa30.txt, Q: 30
	Custo: 16478, Tempo: 1.237651
	Custo: 16478, Tempo: 1.323514
	Custo: 16478, Tempo: 1.048116
	Custo: 16478, Tempo: 1.108238
	Custo: 16478, Tempo: 1.355804
	Custo: 16478, Tempo: 1.117688
	Custo: 16478, Tempo: 1.030825
	Custo: 16478, Tempo: 1.284603
	Custo: 16478, Tempo: 1.256532
	Custo: 16478, Tempo: 1.051264
Melhor custo: 16478, média dos tempos: 1.181423
Instancia: InstancesBRP/16LaSpezia30.txt, Q: 30
	Custo: 21255, Tempo: 0.942339
	Custo: 21255, Tempo: 1.095779
	Custo: 21255, Tempo: 1.005696
	Custo: 21255, Tempo: 0.846596
	Custo: 21255, Tempo: 0.862689
	Custo: 21255, Tempo: 1.077990
	Custo: 21255, Tempo: 1.001394
	Custo: 21255, Tempo: 0.838187
	Custo: 21255, Tempo: 0.827471
	Custo: 21255, Tempo: 1.128523
Melhor custo: 21255, média dos tempos: 0.962666
Instancia: InstancesBRP/5ReggioEmilia20.txt, Q: 20
	Custo: 23200, Tempo: 0.466704
	Custo: 23200, Tempo: 0.437506
	Custo: 23200, Tempo: 0.350306
	Custo: 23200, Tempo: 0.364019
	Custo: 23200, Tempo: 0.354182
	Custo: 23200, Tempo: 0.369560
	Custo: 23200, Tempo: 0.359108
	Custo: 23200, Tempo: 0.397479
	Custo: 23200, Tempo: 0.434391
	Custo: 23200, Tempo: 0.503498
Melhor custo: 23200, média dos tempos: 0.403675
Instancia: InstancesBRP/9Bergamo12.txt, Q: 12
	Custo: 13500, Tempo: 0.646072
	Custo: 13500, Tempo: 0.540513
	Custo: 13500, Tempo: 0.470268
	Custo: 13500, Tempo: 0.498743
	Custo: 13500, Tempo: 0.445914
	Custo: 13500, Tempo: 0.598734
	Custo: 13500, Tempo: 0.637764
	Custo: 13500, Tempo: 0.677355
	Custo: 13500, Tempo: 0.542467
	Custo: 13500, Tempo: 0.461048
Melhor custo: 13500, média dos tempos: 0.551888
Instancia: InstancesBRP/43Denver20.txt, Q: 20
	Custo: 53447, Tempo: 21.494608
	Custo: 53447, Tempo: 22.514681
	Custo: 53500, Tempo: 20.332993
	Custo: 53447, Tempo: 20.770029
	Custo: 53447, Tempo: 22.270121
	Custo: 53447, Tempo: 21.705139
	Custo: 53447, Tempo: 22.891617
	Custo: 53500, Tempo: 22.157907
	Custo: 53447, Tempo: 20.338703
	Custo: 53447, Tempo: 18.901377
Melhor custo: 53447, média dos tempos: 21.337718
Instancia: InstancesBRP/40Dublin20.txt, Q: 20
