Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 12600, Tempo: 0.795160
	Custo: 12600, Tempo: 1.041719
	Custo: 12600, Tempo: 1.014644
	Custo: 12600, Tempo: 0.807103
	Custo: 12600, Tempo: 0.795211
	Custo: 12600, Tempo: 0.950327
Melhor custo: 12600, média dos tempos: 0.901603
Instancia: InstancesBRP/45RioDeJaneiro30.txt, Q: 30
	Custo: 123888, Tempo: 113.960396
	Custo: 124463, Tempo: 109.510414
	Custo: 124920, Tempo: 109.226585
	Custo: 124004, Tempo: 112.068512
	Custo: 123795, Tempo: 118.076218
	Custo: 124472, Tempo: 116.212784
	Custo: 124652, Tempo: 107.974960
	Custo: 124718, Tempo: 106.957985
	Custo: 123791, Tempo: 109.909531
	Custo: 124887, Tempo: 104.135391
Melhor custo: 123791, média dos tempos: 110.803284
Instancia: InstancesBRP/47RioDeJaneiro10.txt, Q: 10
	Custo: 253892, Tempo: 140.373795
	Custo: 253798, Tempo: 148.850677
	Custo: 254766, Tempo: 163.589859
	Custo: 253546, Tempo: 147.712265
	Custo: 254519, Tempo: 151.116837
	Custo: 253630, Tempo: 156.611771
	Custo: 254431, Tempo: 157.188934
	Custo: 254727, Tempo: 138.878677
	Custo: 254057, Tempo: 145.013214
	Custo: 253717, Tempo: 150.651810
Melhor custo: 253546, média dos tempos: 149.998779
Instancia: InstancesBRP/24SanAntonio30.txt, Q: 30
	Custo: 23105, Tempo: 5.157353
	Custo: 23042, Tempo: 6.145054
	Custo: 23105, Tempo: 5.534226
	Custo: 23105, Tempo: 5.897613
	Custo: 22982, Tempo: 6.012186
	Custo: 22982, Tempo: 6.059625
	Custo: 23105, Tempo: 5.915250
	Custo: 22982, Tempo: 5.923267
	Custo: 23105, Tempo: 5.564662
	Custo: 22982, Tempo: 5.212940
Melhor custo: 22982, média dos tempos: 5.742218
Instancia: InstancesBRP/44Denver10.txt, Q: 10
	Custo: 68153, Tempo: 77.553650
	Custo: 67699, Tempo: 79.620163
	Custo: 68035, Tempo: 85.403107
	Custo: 67731, Tempo: 79.740913
	Custo: 67733, Tempo: 84.655251
	Custo: 67800, Tempo: 83.757927
	Custo: 67860, Tempo: 88.809662
	Custo: 67720, Tempo: 84.083527
	Custo: 67736, Tempo: 88.875832
	Custo: 67808, Tempo: 86.187569
Melhor custo: 67699, média dos tempos: 83.868756
Instancia: InstancesBRP/6ReggioEmilia10.txt, Q: 10
	Custo: 32500, Tempo: 1.125144
	Custo: 32500, Tempo: 1.274202
	Custo: 32500, Tempo: 1.414208
	Custo: 32500, Tempo: 1.173941
	Custo: 32500, Tempo: 1.284863
	Custo: 32500, Tempo: 1.497288
	Custo: 32500, Tempo: 1.083427
	Custo: 32500, Tempo: 1.199466
	Custo: 32500, Tempo: 1.433384
	Custo: 32500, Tempo: 1.163348
Melhor custo: 32500, média dos tempos: 1.264927
Instancia: InstancesBRP/29Brescia11.txt, Q: 11
	Custo: 34900, Tempo: 12.037116
	Custo: 34900, Tempo: 11.794874
	Custo: 35000, Tempo: 11.644252
	Custo: 35000, Tempo: 11.123862
	Custo: 34900, Tempo: 11.657460
	Custo: 35000, Tempo: 11.227312
	Custo: 34900, Tempo: 12.388129
	Custo: 35000, Tempo: 10.673799
	Custo: 34900, Tempo: 12.074582
	Custo: 35100, Tempo: 11.984618
